location,date,ave_temperature,min_temperature,min_temperature_time,max_temperature,max_temperature_time,precipitation,max_wind_speed,max_wind_speed_time,ave_wind_speed,max_wind_speed_direction
316,2014-01-01,-2.3,-5,508,1.3,1518,0,16.7,1353,9.5,302.1
316,2014-01-02,-1.4,-3.8,247,1.6,1506,0,16,509,5,44.4
316,2014-01-03,.3,-2.3,0,5.1,1231,0,10.3,2202,4.4,29.9
316,2014-01-04,-4,-6.6,654,.2,1512,0,10.8,58,3.4,30.8
316,2014-01-05,-3.9,-5.9,3,-.7,1517,0,14.7,2357,5.4,49
316,2014-01-06,-3.1,-6.2,141,.7,1347,0,15.2,421,5.6,78.5
316,2014-01-07,-.9,-3.9,135,3.3,1243,0,8,1313,3.2,279
316,2014-01-08,-4.9,-10.2,2350,.5,206,.5,19.9,904,5.8,62.3
316,2014-01-09,-12.2,-14.5,2027,-9.4,1233,0,14.1,230,3.8,101.2
316,2014-01-10,-8.5,-14,1,-5.1,1350,0,12.5,1304,6.1,317.1
316,2014-01-11,-6.2,-9.8,451,-2.8,1454,0,9.8,8,2.3,347.9
316,2014-01-12,-6.1,-11.4,2319,-2.6,1230,0,12.9,1330,4.5,328
316,2014-01-13,-10.5,-13.6,744,-6.2,1518,0,15.8,755,7.5,27.4
316,2014-01-14,-8.2,-10.6,433,-3.6,1343,0,22,900,9.4,61.5
316,2014-01-15,-8,-10.7,739,-3.5,1326,0,15.4,825,7.5,50
316,2014-01-16,-6.3,-9,441,-.5,1440,0,17.5,336,8.1,49.2
316,2014-01-17,-4.9,-7.1,139,.1,1400,0,10,215,4.8,49.1
316,2014-01-18,-7.5,-10.5,2347,-4.7,204,0,17.4,1726,5.3,331.4
316,2014-01-19,-5.8,-11,127,0,1339,0,13.2,706,5.5,46.6
316,2014-01-20,-4.6,-9.2,2349,-2,518,0,18.9,1747,9.6,322.8
316,2014-01-21,-9.9,-11.3,2125,-8.8,18,.5,16.5,119,5.8,322.8
316,2014-01-22,-8.7,-11,142,-5.6,1456,0,12.2,1750,5.2,34
316,2014-01-23,-2.7,-6.2,4,.2,1154,0,9.5,227,3,43.2
