location,date,ave_temperature,max_temperature
316,2013-01-01,-3.9,-2.3
316,2013-01-02,-9.2,-2.7
316,2013-01-03,-13,-11.4
316,2013-01-04,-7.8,-4.4
316,2013-01-05,-7,-3.5
316,2013-01-06,-5.3,-2.5
316,2013-01-07,-3.8,-.9
316,2013-01-08,-5.5,-2.9
316,2013-01-09,-10,-6.7
316,2013-01-10,-8.7,-5.6
316,2013-01-11,-2.9,-.2
316,2013-01-12,-.3,2.4
316,2013-01-13,2.1,3.8
316,2013-01-14,-1.7,1.4
316,2013-01-15,-.4,2.3
316,2013-01-16,-4,-1.8
316,2013-01-17,-8.3,-5.7
316,2013-01-18,-6.2,-1.2
316,2013-01-19,-3.2,.3
316,2013-01-20,1.3,4.1
316,2013-01-21,4.1,7.5
316,2013-01-22,-.5,2.8
316,2013-01-23,-1.3,.9
316,2013-01-24,-3.8,-1.1
316,2013-01-25,-8.9,-6.3
316,2013-01-26,-9.5,-7.4
316,2013-01-27,-8.8,-7
316,2013-01-28,-4.9,-1.9
316,2013-01-29,.5,3.1
316,2013-01-30,3.3,7.6
316,2013-01-31,4.5,6.7
316,2013-02-01,7,10.2
316,2013-02-02,-2.3,3.1
316,2013-02-03,1.8,5.5
316,2013-02-04,.7,7.6
316,2013-02-05,.8,4.3
316,2013-02-06,-3.4,.1
316,2013-02-07,-11,-4.5
316,2013-02-08,-11.5,-7.7
316,2013-02-09,-8.2,-3.9
316,2013-02-10,-5.1,-1.6
316,2013-02-11,-5.1,-1.5
316,2013-02-12,-4.3,-1.1
316,2013-02-13,-4.3,.2
316,2013-02-14,.1,3.1
316,2013-02-15,-4.3,1
316,2013-02-16,-5,1.5
316,2013-02-17,1.4,5.7
316,2013-02-18,-.6,4.9
316,2013-02-19,-6.8,-2.1
316,2013-02-20,-7,-1.3
316,2013-02-21,-3.2,1.7
316,2013-02-22,-2.4,2
316,2013-02-23,-5.3,1.2
316,2013-02-24,-1.7,3.9
316,2013-02-25,3.4,9
316,2013-02-26,3.3,6.2
316,2013-02-27,4.6,8.3
316,2013-02-28,8.2,13.6
316,2013-03-01,-1.8,7.7
316,2013-03-02,-4.7,.9
316,2013-03-03,-2.3,2.6
316,2013-03-04,-.2,6.9
316,2013-03-05,3.4,9.1
316,2013-03-06,7.8,14.5
316,2013-03-07,7,12.2
316,2013-03-08,10,14.7
316,2013-03-09,13.9,21
316,2013-03-10,2.4,7.8
316,2013-03-11,6.2,11.5
316,2013-03-12,8.1,13.6
316,2013-03-13,1.6,10.6
316,2013-03-14,.6,5.7
316,2013-03-15,4,9.7
316,2013-03-16,8,12.6
316,2013-03-17,8.3,11
316,2013-03-18,6.6,11
316,2013-03-19,10.1,15.4
316,2013-03-20,.8,9.7
316,2013-03-21,0,6.7
316,2013-03-22,2.8,8.1
316,2013-03-23,5.1,13
316,2013-03-24,2.8,7.8
316,2013-03-25,-1.7,3.6
316,2013-03-26,4,10.2
316,2013-03-27,7.1,13.1
316,2013-03-28,7.5,14.1
316,2013-03-29,3.3,9.1
316,2013-03-30,5,10.7
316,2013-03-31,3.9,10.1
316,2013-04-01,6.6,13
316,2013-04-02,1.5,5.8
316,2013-04-03,6.7,14.1
316,2013-04-04,12.3,18.9
316,2013-04-05,11,14.9
316,2013-04-06,3.8,10.5
316,2013-04-07,-2.1,-.2
316,2013-04-08,4.8,10.9
316,2013-04-09,2.3,8.1
316,2013-04-10,-.7,4.2
316,2013-04-11,2,7.1
316,2013-04-12,3,9.3
316,2013-04-13,8.9,16
316,2013-04-14,6.5,13
316,2013-04-15,10,15.9
316,2013-04-16,15.3,21.1
316,2013-04-17,12.5,16.9
316,2013-04-18,7.9,14.7
316,2013-04-19,6.3,13.4
316,2013-04-20,1.5,3.3
316,2013-04-21,3.7,8.8
316,2013-04-22,8,15.5
316,2013-04-23,8.8,12.1
316,2013-04-24,9.2,14
316,2013-04-25,7.5,11.6
316,2013-04-26,6.9,12.4
316,2013-04-27,9.6,15.9
316,2013-04-28,11.6,17.5
316,2013-04-29,10.9,13.9
316,2013-04-30,11.2,16.2
316,2013-05-01,7.6,13.9
316,2013-05-02,8.2,14.1
316,2013-05-03,9.4,15.3
316,2013-05-04,9.8,15.4
316,2013-05-05,13.5,19.8
316,2013-05-06,16.1,21.6
316,2013-05-07,15.2,20.6
316,2013-05-08,16.1,21.9
316,2013-05-09,13.9,17
316,2013-05-10,12,13.9
316,2013-05-11,14.8,20.9
316,2013-05-12,15.8,20.3
316,2013-05-13,17.9,23.9
316,2013-05-14,16.5,21.9
316,2013-05-15,16,21.8
316,2013-05-16,15.1,20.1
316,2013-05-17,13.8,20.4
316,2013-05-18,14.3,19.2
316,2013-05-19,13.5,15.5
316,2013-05-20,13.5,17.6
316,2013-05-21,17.4,22.7
316,2013-05-22,18.5,24.1
316,2013-05-23,19.8,25.2
316,2013-05-24,21.3,26.5
316,2013-05-25,20.6,25.7
316,2013-05-26,16.1,18.7
316,2013-05-27,14.7,16.1
316,2013-05-28,16.2,17.6
316,2013-05-29,13.3,15.8
316,2013-05-30,16.1,20.5
316,2013-05-31,17.3,20.1
316,2013-06-01,15.8,18.5
316,2013-06-02,17.7,22.5
316,2013-06-03,17.3,22.9
316,2013-06-04,19,24.3
316,2013-06-05,19.2,24.2
316,2013-06-06,19.8,25.1
316,2013-06-07,18.8,22.9
316,2013-06-08,16.6,18.6
316,2013-06-09,17.1,22.1
316,2013-06-10,17.1,20.7
316,2013-06-11,16.9,19
316,2013-06-12,17.1,18.5
316,2013-06-13,17.2,19.3
316,2013-06-14,17,17.9
316,2013-06-15,19.1,24.6
316,2013-06-16,19.5,25.1
316,2013-06-17,19.1,22.4
316,2013-06-18,20.3,21.3
316,2013-06-19,20.1,24.7
316,2013-06-20,20.8,23.9
316,2013-06-21,20.4,25.5
316,2013-06-22,18.7,22.8
316,2013-06-23,16.3,18.7
316,2013-06-24,17.6,20.7
316,2013-06-25,17,19.4
316,2013-06-26,18.4,23
316,2013-06-27,19,21.3
316,2013-06-28,19.3,23.2
316,2013-06-29,20.2,24.7
316,2013-06-30,19.8,24.4
316,2013-07-01,20.1,24.4
316,2013-07-02,21.3,23.4
316,2013-07-03,20.6,21.7
316,2013-07-04,20.7,21.5
316,2013-07-05,20.4,21.2
316,2013-07-06,20.2,23.9
316,2013-07-07,20,21.5
316,2013-07-08,20.9,21.8
316,2013-07-09,21.1,22.8
316,2013-07-10,21.7,25.7
316,2013-07-11,21.8,26.4
316,2013-07-12,21.5,25.8
316,2013-07-13,22.4,26.5
316,2013-07-14,21.6,23.5
316,2013-07-15,21.4,24.2
316,2013-07-16,21.1,25.2
316,2013-07-17,20.5,23.7
316,2013-07-18,21.1,25.6
316,2013-07-19,22,26.4
316,2013-07-20,21.6,26.6
316,2013-07-21,21.2,24
316,2013-07-22,21.4,24.8
316,2013-07-23,21.2,22.4
316,2013-07-24,21.1,22.7
316,2013-07-25,21,25.4
316,2013-07-26,21.8,26.2
316,2013-07-27,22.7,26.6
316,2013-07-28,22.6,25.7
316,2013-07-31,22.1,24
316,2013-08-01,23.4,27.3
316,2013-08-02,21.9,24.5
316,2013-08-03,21.8,23
316,2013-08-04,22.4,25.4
316,2013-08-05,21.7,24.3
316,2013-08-06,23.1,26.7
316,2013-08-07,24.3,28.1
316,2013-08-08,24.6,28.3
316,2013-08-09,24.1,27.7
316,2013-08-10,24.3,28.1
316,2013-08-11,24.3,29
316,2013-08-12,23.2,28.3
316,2013-08-13,22.6,27.6
316,2013-08-14,22.2,27.4
316,2013-08-15,22.5,28
316,2013-08-16,22.7,28.2
316,2013-08-17,22.5,27.6
316,2013-08-18,23.5,28.8
316,2013-08-19,23.7,29.1
316,2013-08-20,24.3,29.2
316,2013-08-21,23.2,27.9
316,2013-08-22,23.2,27.7
316,2013-08-23,22,23
316,2013-08-24,21.4,22.4
316,2013-08-25,21,24.9
316,2013-08-26,20.2,25.7
316,2013-08-27,21,25.8
316,2013-08-28,20.4,24.7
316,2013-08-29,20.3,23.2
316,2013-08-30,18.8,22.2
316,2013-08-31,16.6,22.4
316,2013-09-01,17.3,22.8
316,2013-09-02,16.8,21.2
316,2013-09-03,14.2,15.9
316,2013-09-04,15.4,20.8
316,2013-09-05,14.5,18.1
